seed,Team/Year,AdjTempo,AdjOE,AdjDE,AdjEM,OppeFGPct,OppTOPct,OppORPct,OppFTRate,eFGPct,TOPct,ORPct,FTRate
1.0,2004 Kentucky,66.439,112.747,88.1148,24.6321,46.1098,22.9336,30.9449,33.7529,52.793,21.1555,36.9804,34.3373
16.0,2004 Lehigh,63.7282,98.2109,103.992,-5.7816,46.4038,20.7098,32.0773,36.2776,47.3601,21.696,33.1355,36.5776
16.0,2004 Liberty,67.5344,97.9283,100.635,-2.70715,47.3699,21.7134,34.1431,34.695,47.8371,22.8269,36.2377,33.2584
14.0,2004 Louisiana Lafayette,69.6882,109.42,98.9893,10.4304,49.3655,24.4036,39.1955,30.9645,52.8571,20.4948,35.5372,34.2222
10.0,2004 Louisville,67.6995,106.419,84.7716,21.6473,43.2508,24.1833,32.4446,36.8421,48.6733,19.6028,32.4312,35.3184
12.0,2004 Manhattan,65.3023,107.701,96.0844,11.6168,46.201,24.0001,33.1596,41.8505,49.42,18.225,35.3687,46.2877
4.0,2004 Maryland,71.3662,110.26,90.0455,20.2142,46.4921,22.5339,33.9615,38.6911,48.1692,20.1465,38.2532,41.5636
7.0,2004 Memphis,67.7079,111.955,95.9555,15.9997,46.6484,21.6683,31.1652,37.2943,49.4289,18.6357,36.4005,38.321
7.0,2004 Michigan St.,64.2907,116.84,101.904,14.9366,51.5905,21.3734,31.5016,44.9304,55.497,21.7313,32.512,38.578
2.0,2004 Mississippi St.,67.9987,114.667,91.9956,22.6715,47.1453,22.8421,31.0254,28.8864,52.1518,21.1971,41.1439,40.6002
15.0,2004 Monmouth,66.2199,98.0355,101.598,-3.56253,48.927,22.5008,32.9136,30.9013,48.2797,19.4948,27.3515,38.4573
12.0,2004 Murray St.,69.3823,110.548,98.9077,11.6398,48.1573,20.1843,29.8748,30.7481,54.7437,19.1819,35.2662,35.9324
10.0,2004 Nevada,68.5767,111.833,93.0023,18.8308,45.7285,20.082,29.7748,33.4382,49.3306,18.221,36.9437,41.1946
6.0,2004 North Carolina,71.131,116.966,93.943,23.0232,50.8065,23.6267,33.7404,33.2036,50.9676,20.3464,39.7475,39.1736
3.0,2004 North Carolina St.,62.8842,118.121,93.7927,24.3286,47.2909,21.6056,33.426,33.9223,52.7251,19.9024,32.8493,35.6635
14.0,2004 Northern Iowa,65.2729,106.972,98.5408,8.4316,46.5466,17.2393,28.823,32.2314,50.565,18.8477,27.1084,39.1086
2.0,2004 Oklahoma St.,65.9003,117.359,92.5691,24.7896,46.1347,21.8721,31.9223,35.2844,55.4921,19.7699,37.6276,39.3148
